complex_id	complex_name	organism	pmid	cell_line	purification_methods	n_subunits	subunit_ids	subunit_genes	n_ext_ppi_edges	n_ext_partners	n_ext_partners_pure	n_ext_partners_other_complex_subunit	go_ids	go_names	go_ontology	comment_complex	comment_disease
1	BCL6-HDAC4 complex	Human	11929873	U2OS osteosarcoma-derived UTA-L cells	MI:0007:anti tag coimmunoprecipitation	2	P41182;P56524	BCL6;HDAC4	52	52	13	39	GO:0004407;GO:0005634;GO:0006265;GO:0030183;GO:0045892;GO:0051276	histone deacetylase activity;nucleus;DNA topological change;B cell differentiation;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process	Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.	
2	BCL6-HDAC5 complex	Human	11929873	U2OS osteosarcoma-derived UTA-L cells	MI:0007:anti tag coimmunoprecipitation	2	P41182;Q9UQL6	BCL6;HDAC5	42	42	11	31	GO:0004407;GO:0005634;GO:0006265;GO:0030183;GO:0045892;GO:0051276	histone deacetylase activity;nucleus;DNA topological change;B cell differentiation;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process	Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.	
3	BCL6-HDAC7 complex	Human	11929873	U2OS osteosarcoma-derived UTA-L cells	MI:0007:anti tag coimmunoprecipitation	2	P41182;Q8WUI4	BCL6;HDAC7	31	31	6	25	GO:0004407;GO:0005634;GO:0006265;GO:0030183;GO:0045892;GO:0051276	histone deacetylase activity;nucleus;DNA topological change;B cell differentiation;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process	Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.	
4	Multisubunit ACTR coactivator complex	Human	9267036	different human tissues and cancer cell lines	MI:0004:affinity chromatography technology;MI:0018:two hybrid;MI:0096:pull down	4	Q92793;Q09472;Q92831;Q9Y6Q9	CREBBP;EP300;KAT2B;NCOA3	235	235	100	135	GO:0004402;GO:0004879	histone acetyltransferase activity;nuclear receptor activity	molecular_function;molecular_function	Cofactor ACTR binds directly nuclear receptors and stimulates their transcriptional activities in a hormone-dependent fashion.	
61	Mi2/NuRD complex	Human	9790534	HeLa cells	MI:0004:affinity chromatography technology	7	Q14839;Q13547;Q92769;O95983;O94776;Q09028;Q16576	CHD4;HDAC1;HDAC2;MBD3;MTA2;RBBP4;RBBP7	208	208	78	130	GO:0005634;GO:0006265;GO:0006357;GO:0051276	nucleus;DNA topological change;regulation of transcription by RNA polymerase II;chromosome organization	cellular_component;biological_process;biological_process;biological_process		Dermatomyositis, cancer (PMID:9790534)
62	MeCP1 complex	Human	10444591	HeLa cells	MI:0096:pull down	8	Q14839;Q13547;Q92769;Q9UBB5;O95983;O94776;Q09028;Q16576	CHD4;HDAC1;HDAC2;MBD2;MBD3;MTA2;RBBP4;RBBP7	210	210	79	131	GO:0003677;GO:0004407;GO:0005634;GO:0006265;GO:0045892;GO:0051276	DNA binding;histone deacetylase activity;nucleus;DNA topological change;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;molecular_function;cellular_component;biological_process;biological_process;biological_process	MeCP1 protein complex represses transcription through preferential binding, remodeling, and deacetylation of methylated nucleosomes.	CHD4 is involved in dermatomyositis (PMID:9790534).
100	hNURF complex	Human	14609955		MI:0071:molecular sieving;MI:0226:ion exchange chromatography	4	Q12830;Q09028;Q16576;P28370	BPTF;RBBP4;RBBP7;SMARCA1	73	73	24	49	GO:0005634;GO:0006265;GO:0006355;GO:0022008;GO:0030182;GO:0048699;GO:0051276;GO:2001141	nucleus;DNA topological change;regulation of DNA-templated transcription;neurogenesis;neuron differentiation;generation of neurons;chromosome organization;regulation of RNA biosynthetic process	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process	NURF is a member of the ISWI-containing chromatin remodeling complexes.	
115	Polycomb repressive complex 1 (PRC1, hPRC-H)	Human	12167701	HeLa cells	MI:0004:affinity chromatography technology;MI:0113:western blot	12	P35226;Q14781;O00257;Q9HC52;P0DMV8;P78364;Q8IXK0;Q8NDX5;Q06587;Q99496;Q96GD3;O60264	BMI1;CBX2;CBX4;CBX8;HSPA1A;PHC1;PHC2;PHC3;RING1;RNF2;SCMH1;SMARCA5	61	61	12	49	GO:0005634;GO:0006265;GO:0006479;GO:0018126;GO:0032774;GO:0045892;GO:0051276	nucleus;DNA topological change;protein methylation;protein hydroxylation;RNA biosynthetic process;negative regulation of DNA-templated transcription;chromosome organization	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process	Polycomb repressive complexes are required to maintain the transcriptionally repressive state of many genes, including Hox genes, throughout development. PcG PRC1 complex acts via chromatin remodeling and modification of histones. hPRC-H apparently represents not a single complex but rather a mixture of highly related complexes, here exemplified by the M33F and Bmi1F M2 eluates. The identified beta-tubulin may be a contaminant, it needs more characterization.	
116	Polycomb repressive complex 1 (PRC1, hPRC-H, YY1)	Human	12167701	HeLa cells	MI:0004:affinity chromatography technology;MI:0113:western blot	13	P35226;Q14781;O00257;Q9HC52;P0DMV8;P78364;Q8IXK0;Q8NDX5;Q06587;Q99496;Q96GD3;O60264;P25490	BMI1;CBX2;CBX4;CBX8;HSPA1A;PHC1;PHC2;PHC3;RING1;RNF2;SCMH1;SMARCA5;YY1	109	109	27	82	GO:0005634;GO:0006265;GO:0006479;GO:0018126;GO:0032774;GO:0045892;GO:0051276	nucleus;DNA topological change;protein methylation;protein hydroxylation;RNA biosynthetic process;negative regulation of DNA-templated transcription;chromosome organization	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process	Polycomb repressive complexes are required to maintain the transcriptionally repressive state of many genes, including Hox genes, throughout development. PcG PRC1 complex acts via chromatin remodeling and modification of histones. hPRC-H apparently represents not a single complex but rather a mixture of highly related complexes, here exemplified by the Hi-Trap S eluate. The identified beta-tubulin may be a contaminant, it needs more characterization.	
149	PBAF complex (Polybromo- and BAF containing complex)	Human	11078522	KB cells	MI:0004:affinity chromatography technology;MI:0019:coimmunoprecipitation	10	P60709;O96019;Q68CP9;Q86U86;P51532;Q12824;Q92922;Q8TAQ2;Q96GM5;Q969G3	ACTB;ACTL6A;ARID2;PBRM1;SMARCA4;SMARCB1;SMARCC1;SMARCC2;SMARCD1;SMARCE1	92	92	22	70	GO:0003677;GO:0005634;GO:0006338;GO:0006355	DNA binding;nucleus;chromatin remodeling;regulation of DNA-templated transcription	molecular_function;cellular_component;biological_process;biological_process		
