protein1_id	protein2_id	gene1	gene2	sources	hpa_datasets	gold_record_count	methods	publications	supporting_structures	n_ddi	n_dmi	ddi	dmi
A1YPR0	P05412	ZBTB7C	JUN	BioGRID		1	Reconstituted Complex	27646874		0	0		
A1YPR0	Q13105	ZBTB7C	ZBTB17	BioGRID		2	Reconstituted Complex	21804610		2	0	PF00096(Zinc finger C2H2-type)--PF00096(Zinc finger C2H2-type)[pdb=51] | PF00651(BTB/POZ domain)--PF00651(BTB/POZ domain)[pdb=205]	
A2RRD8	Q13263	ZNF320	TRIM28	Human Protein Atlas (HPA)	biogrid_bioplex	0				0	0		
A6NFI3	Q13263	ZNF316	TRIM28	Human Protein Atlas (HPA)	biogrid_opencell_bioplex	0				0	0		
A8MT69	Q8N2Z9	CENPX	CENPS	CORUM;Human Protein Atlas (HPA);PDB	intact_biogrid_bioplex	1	EM;X-ray;molecular sieving	22304917	4DRA;4DRB;4E44;4E45;4NDY;4NE1;4NE3;4NE5;4NE6;7R5S;7XHN;7XHO;7YWX	0	0		
A8MW92	Q7Z3B3	PHF20L1	KANSL1	Human Protein Atlas (HPA)	biogrid_bioplex	0				0	0		
A8MW92	Q9H9L4	PHF20L1	KANSL2	Human Protein Atlas (HPA)	biogrid_bioplex	0				0	0		
A9YTQ3	P27540	AHRR	ARNT	BioGRID		2	Co-crystal Structure;Reconstituted Complex	28904176		2	0	PF00989(PAS fold)--PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)[pdb=13] | PF00989(PAS fold)--PF00989(PAS fold)[pdb=128]	
C0HLU2	Q13263	ZNF689	TRIM28	Human Protein Atlas (HPA)	biogrid_opencell	0				0	0		
E7ETH6	Q13263	ZNF587B	TRIM28	Human Protein Atlas (HPA)	biogrid_bioplex	0				0	0		
O00167	Q15475	EYA2	SIX1	Human Protein Atlas (HPA);PDB	intact_biogrid	1	X-ray		4EGC	0	0		
O00213	Q63HK5	APBB1	TSHZ3	BioGRID		1	Reconstituted Complex	19343227		0	0		
O00213	Q6ZSZ6	APBB1	TSHZ1	BioGRID		1	Reconstituted Complex	19343227		0	0		
O00213	Q9NRE2	APBB1	TSHZ2	BioGRID		1	Reconstituted Complex	19343227		0	0		
O00255	O00409	MEN1	FOXN3	BioGRID		2	Reconstituted Complex	16951149		0	0		
O00255	O75475	MEN1	PSIP1	PDB		1	X-ray		3U88	1	0	PF05053(Menin)--PF11467(Lens epithelium-derived growth factor, integrase-binding domain)[pdb=1]	
O00255	P01106	MEN1	MYC	BioGRID		1	Reconstituted Complex	19818711		0	0		
O00255	P04637	MEN1	TP53	BioGRID		1	Reconstituted Complex	15960975		0	0		
O00255	P15923	MEN1	TCF3	BioGRID		1	Reconstituted Complex	19074834		0	0		
O00255	P17535	MEN1	JUND	BioGRID;PDB		3	Reconstituted Complex;X-ray	10500243;9989505	3U86	0	0		
O00255	P19838	MEN1	NFKB1	BioGRID;IntAct		2	Reconstituted Complex;pull down	11526476		0	0		
O00255	P61964	MEN1	WDR5	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O00255	Q00653	MEN1	NFKB2	BioGRID		1	Reconstituted Complex	11526476		0	0		
O00255	Q03164	MEN1	KMT2A	BioGRID;PDB		2	Reconstituted Complex;X-ray	16239140	3U85;3U88;4GQ6;9C4S;9C4T;9C4U;9C4V	0	0		
O00255	Q04206	MEN1	RELA	BioGRID;IntAct		2	Reconstituted Complex;pull down	11526476		0	0		
O00255	Q08945	MEN1	SSRP1	Human Protein Atlas (HPA)	biogrid_opencell	0				0	0		
O00255	Q13547	MEN1	HDAC1	BioGRID		1	Reconstituted Complex	14559791		0	0		
O00255	Q92769	MEN1	HDAC2	BioGRID		1	Reconstituted Complex	14559791		0	0		
O00255	Q96ST3	MEN1	SIN3A	BioGRID		1	Reconstituted Complex	14559791		0	0		
O00255	Q9NQB0	MEN1	TCF7L2	BioGRID		1	Reconstituted Complex	19074834		0	0		
O00255	Q9UBL3	MEN1	ASH2L	BioGRID		1	Reconstituted Complex	15199122		0	0		
O00255	Q9UER7	MEN1	DAXX	BioGRID		1	Reconstituted Complex	27872097		0	0		
O00257	O43463	CBX4	SUV39H1	BioGRID		1	Reconstituted Complex	12101246		0	0		
O00257	O60315	CBX4	ZEB2	BioGRID		1	Reconstituted Complex	16061479		0	0		
O00257	O95503	CBX4	CBX6	Human Protein Atlas (HPA)	biogrid_bioplex	0				0	0		
O00257	P31946	CBX4	YWHAB	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O00257	P35226	CBX4	BMI1	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	12829790		1	0	PF17218(CBX family C-terminal motif)--PF16207(RAWUL domain)[pdb=4]	
O00257	P35227	CBX4	PCGF2	Human Protein Atlas (HPA)	biogrid_bioplex	0				1	0	PF17218(CBX family C-terminal motif)--PF16207(RAWUL domain)[pdb=4]	
O00257	P68400	CBX4	CSNK2A1	Human Protein Atlas (HPA)	biogrid_opencell	0				0	0		
O00257	P78364	CBX4	PHC1	Human Protein Atlas (HPA)	biogrid_bioplex	0				0	0		
O00257	Q03164	CBX4	KMT2A	BioGRID		2	Reconstituted Complex	12829790		0	0		
O00257	Q06587	CBX4	RING1	BioGRID		1	Reconstituted Complex	9858531		1	0	PF17218(CBX family C-terminal motif)--PF16207(RAWUL domain)[pdb=4]	
O00257	Q13363	CBX4	CTBP1	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	12829790		0	0		
O00257	Q99496	CBX4	RNF2	Human Protein Atlas (HPA)	intact_biogrid	0				1	0	PF17218(CBX family C-terminal motif)--PF16207(RAWUL domain)[pdb=4]	
O00257	Q9HC52	CBX4	CBX8	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
O00257	Q9UGL1	CBX4	KDM5B	BioGRID		2	Reconstituted Complex	19336002		0	0		
O00257	Q9UIS9	CBX4	MBD1	BioGRID		1	Reconstituted Complex	17428788		0	0		
