protein1_id	protein2_id	gene1	gene2	complex_ids	complex_names	n_complexes_shared	evidence_in_ppi_graph	sources	methods	publications	supporting_structures	n_ddi	n_dmi	ddi	dmi
A8MT69	Q8N2Z9	CENPX	CENPS	6145	CENPS-CENPX complex	1	True	CORUM;Human Protein Atlas (HPA);PDB	EM;X-ray;molecular sieving	22304917	4DRA;4DRB;4E44;4E45;4NDY;4NE1;4NE3;4NE5;4NE6;7R5S;7XHN;7XHO;7YWX	0	0		
O00159	O60264		SMARCA5	6194	B-WICH complex	1	False								
O00159	O75533		SF3B1	6194	B-WICH complex	1	False								
O00159	P35659		DEK	6194	B-WICH complex	1	False								
O00159	Q03468		ERCC6	6194	B-WICH complex	1	False								
O00159	Q9BQG0		MYBBP1A	6194	B-WICH complex	1	False								
O00159	Q9NR30		DDX21	6194	B-WICH complex	1	False								
O00159	Q9UIG0		BAZ1B	6194	B-WICH complex	1	False								
O00213	Q13547	APBB1	HDAC1	5870	APBB1-TSHZ3-HDAC1 complex	1	False								
O00213	Q63HK5	APBB1	TSHZ3	5870	APBB1-TSHZ3-HDAC1 complex	1	True	BioGRID	Reconstituted Complex	19343227		0	0		
O00255	O14686	MEN1	KMT2D	6460	MLL2 complex	1	False								
O00255	O15294	MEN1	OGT	6460;6462	MLL2 complex;MLL1 complex	2	False								
O00255	O75475	MEN1	PSIP1	6460	MLL2 complex	1	True	PDB	X-ray		3U88	1	0	PF05053(Menin)--PF11467(Lens epithelium-derived growth factor, integrase-binding domain)[pdb=1]	
O00255	P51610	MEN1	HCFC1	6460;6462	MLL2 complex;MLL1 complex	2	False								
O00255	P61964	MEN1	WDR5	6460;6462	MLL2 complex;MLL1 complex	2	True	Human Protein Atlas (HPA)				0	0		
O00255	Q03164	MEN1	KMT2A	6462	MLL1 complex	1	True	BioGRID;PDB	Reconstituted Complex;X-ray	16239140	3U85;3U88;4GQ6;9C4S;9C4T;9C4U;9C4V	0	0		
O00255	Q15291	MEN1	RBBP5	6460;6462	MLL2 complex;MLL1 complex	2	False								
O00255	Q9C005	MEN1	DPY30	6460;6462	MLL2 complex;MLL1 complex	2	False								
O00255	Q9UBL3	MEN1	ASH2L	6460;6462	MLL2 complex;MLL1 complex	2	True	BioGRID	Reconstituted Complex	15199122		0	0		
O00255	Q9Y5Z7	MEN1	HCFC2	6460	MLL2 complex	1	False								
O00257	O60264	CBX4	SMARCA5	115;116	Polycomb repressive complex 1 (PRC1, hPRC-H);Polycomb repressive complex 1 (PRC1, hPRC-H, YY1)	2	False								
O00257	O60315	CBX4	ZEB2	642	CtBP complex	1	True	BioGRID	Reconstituted Complex	16061479		0	0		
O00257	O60341	CBX4	KDM1A	642	CtBP complex	1	False								
O00257	O75362	CBX4	ZNF217	642	CtBP complex	1	False								
O00257	O95503	CBX4	CBX6	8386	PRC1.4c complex	1	True	Human Protein Atlas (HPA)				0	0		
O00257	P0DMV8	CBX4	HSPA1A	115;116	Polycomb repressive complex 1 (PRC1, hPRC-H);Polycomb repressive complex 1 (PRC1, hPRC-H, YY1)	2	False								
O00257	P25490	CBX4	YY1	116	Polycomb repressive complex 1 (PRC1, hPRC-H, YY1)	1	False								
O00257	P35226	CBX4	BMI1	115;116;5513;8386	Polycomb repressive complex 1 (PRC1, hPRC-H);Polycomb repressive complex 1 (PRC1, hPRC-H, YY1);RING1-Polycomb repressive complex;PRC1.4c complex	4	True	BioGRID;Human Protein Atlas (HPA)	Reconstituted Complex	12829790		1	0	PF17218(CBX family C-terminal motif)--PF16207(RAWUL domain)[pdb=4]	
O00257	P37275	CBX4	ZEB1	642	CtBP complex	1	False								
O00257	P56545	CBX4	CTBP2	642	CtBP complex	1	False								
O00257	P78364	CBX4	PHC1	115;116;5513;8386	Polycomb repressive complex 1 (PRC1, hPRC-H);Polycomb repressive complex 1 (PRC1, hPRC-H, YY1);RING1-Polycomb repressive complex;PRC1.4c complex	4	True	Human Protein Atlas (HPA)				0	0		
O00257	Q06587	CBX4	RING1	115;116;5513;8386	Polycomb repressive complex 1 (PRC1, hPRC-H);Polycomb repressive complex 1 (PRC1, hPRC-H, YY1);RING1-Polycomb repressive complex;PRC1.4c complex	4	True	BioGRID	Reconstituted Complex	9858531		1	0	PF17218(CBX family C-terminal motif)--PF16207(RAWUL domain)[pdb=4]	
O00257	Q13363	CBX4	CTBP1	642	CtBP complex	1	True	BioGRID;Human Protein Atlas (HPA)	Reconstituted Complex	12829790		0	0		
O00257	Q13547	CBX4	HDAC1	642	CtBP complex	1	False								
O00257	Q14781	CBX4	CBX2	115;116;8386	Polycomb repressive complex 1 (PRC1, hPRC-H);Polycomb repressive complex 1 (PRC1, hPRC-H, YY1);PRC1.4c complex	3	False								
O00257	Q8IXK0	CBX4	PHC2	115;116;8386	Polycomb repressive complex 1 (PRC1, hPRC-H);Polycomb repressive complex 1 (PRC1, hPRC-H, YY1);PRC1.4c complex	3	False								
O00257	Q8NDX5	CBX4		115;116;8386	Polycomb repressive complex 1 (PRC1, hPRC-H);Polycomb repressive complex 1 (PRC1, hPRC-H, YY1);PRC1.4c complex	3	False								
O00257	Q92618	CBX4	ZNF516	642	CtBP complex	1	False								
O00257	Q92766	CBX4	RREB1	642	CtBP complex	1	False								
O00257	Q92769	CBX4	HDAC2	642	CtBP complex	1	False								
O00257	Q96GD3	CBX4	SCMH1	115;116;8386	Polycomb repressive complex 1 (PRC1, hPRC-H);Polycomb repressive complex 1 (PRC1, hPRC-H, YY1);PRC1.4c complex	3	False								
O00257	Q96JN0	CBX4	LCOR	642	CtBP complex	1	False								
O00257	Q96KQ7	CBX4	EHMT2	642	CtBP complex	1	False								
O00257	Q99496	CBX4	RNF2	115;116;8386	Polycomb repressive complex 1 (PRC1, hPRC-H);Polycomb repressive complex 1 (PRC1, hPRC-H, YY1);PRC1.4c complex	3	True	Human Protein Atlas (HPA)				1	0	PF17218(CBX family C-terminal motif)--PF16207(RAWUL domain)[pdb=4]	
O00257	Q9H9B1	CBX4	EHMT1	642	CtBP complex	1	False								
O00257	Q9HC52	CBX4	CBX8	115;116;8386	Polycomb repressive complex 1 (PRC1, hPRC-H);Polycomb repressive complex 1 (PRC1, hPRC-H, YY1);PRC1.4c complex	3	True	Human Protein Atlas (HPA)				0	0		
O00257	Q9P2K3	CBX4	RCOR3	642	CtBP complex	1	False								
O00257	Q9UKL0	CBX4	RCOR1	642	CtBP complex	1	False								
O00257	Q9Y232	CBX4	CDYL	642	CtBP complex	1	False								
